# Lband calibrators, all usable on core, most on all baselines, some variable,
J0010-4153 | 0008-421, radec gaincal, 00:10:52.5176, -41:53:10.779, (145. 20000. -16.9316 15.3898 -4.2105 0.3496)
J0022+0014 | 0019-000, radec gaincal, 00:22:25.4258, +00:14:56.163, ()
J0024-4202 | 0022-423, radec gaincal, 00:24:42.9899, -42:02:3.949, ()
J0025-2602 | 0023-263, radec gaincal, 00:25:49.1563, -26:02:12.614, (333. 99000. -8.4450 9.2780 -2.7801 0.2499)
J0059+0006 | 0056-001, radec gaincal, 00:59:5.5149, +00:06:51.621, (74.   8400. -0.9051 1.8362 -0.6141 0.0518)
J0108+0134 | 0106+013, radec gaincal, 01:08:38.7711, +01:35:0.317, ()
J0137+3309 | 3C48, radec bpcal, 01:37:41.2995, +33:09:35.134, (50. 50000. 0.5240 1.7377 -0.6396 0.0498)
J0155-4048 | 0153-410, radec gaincal, 01:55:37.0593, -40:48:42.357, ()
J0203-4349 | 0201-440, radec gaincal, 02:03:40.7022, -43:49:51.189, (80.  22000. 1.4053 0.1893 -0.1654 0.0030)
J0210-5101 | 0208-512, radec gaincal, 02:10:46.2004, -51:01:1.892, ()
J0238+1636 | 0235+164, radec gaincal, 02:38:38.9301, +16:36:59.275, ()
J0240-2309 | 0237-233, radec gaincal, 02:40:8.1744, -23:09:15.730, (365. 43000. -23.5170 20.5047 -5.5855 0.4851)
J0252-7104 | 0252-712, radec bpcal, 02:52:46.1547, -71:04:35.265, (145. 20000. 1.1245 0.7190 -0.2955 0.0096)
J0303-6211 | 0302-623, radec gaincal, 03:03:50.6314, -62:11:25.550, ()
J0318+1628 | CTA21, radec gaincal, 03:18:57.8030, +16:28:32.678, (318. 43000. -13.4672 12.4587 -3.4110 0.2867)
J0323+0534 | 0320+053, radec gaincal, 03:23:20.2616, +05:34:11.891, ()
J0329+2756 | 0326+277, radec gaincal, 03:29:57.6694, +27:56:15.499, ()
J0403+2600 | 0400+258, radec gaincal, 04:03:5.5861, +26:00:1.503, ()
J0405-1308 | 0403-132, radec gaincal, 04:05:34.0034, -13:08:13.691, (74.  22000. -0.8395 2.4438 -0.9451 0.1006)
J0408-6545 | 0408-658, radec bpcal, 04:08:20.3782, -65:45:9.080, (145. 18000. -0.9790 3.3662 -1.1216 0.0861)
J0409-1757 | 0406-180, radec gaincal, 04:09:6.7000, -17:57:10.039, ()
J0420-6223 | 0420-625, radec gaincal, 04:20:56.13, -62:23:38.70, (145. 20000. 4.7772 -2.1190 0.3788 -0.0433)
J0423-0120 | 0420-014, radec gaincal, 04:23:15.8007, -01:20:33.066, ()
J0431+2037 | 0428+205, radec gaincal, 04:31:3.7614, +20:37:34.265, ()
J0440-4333 | 0438-436, radec gaincal, 04:40:17.1800, -43:33:8.604, ()
J0447-2203 | 0445-221, radec gaincal, 04:47:37.2815, -22:03:36.823, ()
J0453-2807 | 0451-282, radec gaincal, 04:53:14.6468, -28:07:37.327, ()
J0503+0203 | 0500+019, radec gaincal, 05:03:21.1972, +02:03:4.677, ()
J0521+1638 | 3C138, radec bpcal, 05:21:9.8860, +16:38:22.052, (50. 50000. 1.3781 0.1619 -0.0650 -0.0100)
J0534+1927 | 0531+194, radec gaincal, 05:34:44.5122, +19:27:21.486, (74.  22000. -3.4915 5.0261 -1.6476 0.1549)
J0538-4405 | 0537-441, radec gaincal, 05:38:50.3616, -44:05:8.939, ()
J0609-1542 | 0607-157, radec gaincal, 06:09:40.9495, -15:42:40.673, ()
J0616-3456 | 0614-349, radec gaincal, 06:16:35.9808, -34:56:16.568, (80.  20000. 1.6678 -0.2215 -0.0396 -0.0044)
J0632+1022 | 0629+104, radec gaincal, 06:32:15.3269, +10:22:1.676, ()
J0725-0054 | 0723-008, radec gaincal, 07:25:50.6399, -00:54:56.543, ()
J0730-1141 | 0727-115, radec gaincal, 07:30:19.1125, -11:41:12.601, ()
J0735-1735 | 0733-174, radec gaincal, 07:35:45.8125, -17:35:48.502, ()
J0739+0137 | 0736+017, radec gaincal, 07:39:18.0339, +01:37:4.618, ()
J0745+1011 | 0742+103, radec gaincal, 07:45:33.0595, +10:11:12.692, ()
J0825-5010 | 0823-500, radec bpcal, 08:25:26.8690, -50:10:38.489, (408. 22000. -33.5795 27.9753 -7.3670 0.6198)
J0828-3731 | 0826-373, radec gaincal, 08:28:4.7802, -37:31:6.282, ()
