# Very strong, more than ~4Jy
J0010-4153 | 0008-421, radec gaincal bpcal, 00:10:52.5196, -41:53:10.790
J0025-2602 | 0023-263, radec gaincal bpcal, 00:25:49.15625, -26:02:12.6168
J0137+3309 | 0134+439 | 3C48, radec gaincal bpcal, 01:37:41.299431, 33:09:35.132990
J0240-2309 | 0237-233, radec gaincal bpcal, 02:40:08.174510, -23:09:15.730850
J0252-7104 | 0252-712, radec gaincal bpcal, 02:52:46.155968, -71:04:35.2741510
J0318+1628 | 0316+162 | CTA21, radec gaincal bpcal, 03:18:57.802658, 16:28:32.698500
J0408-6545 | 0407-658, radec gaincal bpcal, 04:08:20.380, -65:45:09.08
J0521+1638 | 0518+165 | 3C138, radec gaincal bpcal, 05:21:09.886008, 16:38:22.0518020
J0534+1927 | 0531+194, radec gaincal, 05:34:44.5183, 19:27:21.378
J0725-0054 | 0723-008, radec gaincal, 07:25:50.639965, -00:54:56.5435450
J0744-0629 | 0741-063, radec gaincal, 07:44:21.6605, -06:29:35.888
J0825-5010 | 0823-500, radec gaincal bpcal, 08:25:26.869, -50:10:38.49
J1008+0730 | 1005+077 | 3C237, radec gaincal bpcal, 10:08:00.0160, 07:30:16.552
J1130-1449 | 1127-145, radec gaincal bpcal, 11:30:07.0525, -14:49:27.388
J1256-0547 | 1253-055 | 3C279, radec gaincal, 12:56:11.16656, -05:47:21.52458
J1311-2216 | 1308-220 | 3C283, radec gaincal, 13:11:39.3347, -22:16:41.748
J1330+2509 | 1328+254 | 3C287, radec gaincal, 13:30:37.6892, 25:09:10.978
J1331+3030 | 1328+307 | 3C286, radec gaincal bpcal polcal, 13:31:08.287984, 30:30:32.958850
J1347+1217 | 1345+125, radec gaincal bpcal, 13:47:33.3616, 12:17:24.238
J1424-4913 | 1421-490, radec gaincal, 14:24:32.23734, -49:13:49.7437
J1609+2641 | 1607+268 | CTD93, radec gaincal bpcal, 16:09:13.3207, 26:41:29.036
J1726-5529 | 1722-554, radec gaincal bpcal, 17:26:49.7, -55:29:38.0
J1733-1304 | 1730-130 | NRAO530, radec gaincal bpcal, 17:33:02.7057, -13:04:49.548
J1744-5144 | 1740-517, radec gaincal bpcal, 17:44:25.45534, -51:44:43.7611
J1819-6345 | 1814-637, radec gaincal, 18:19:35.002381, -63:45:48.18906
J1830-3602 | 1827-360, radec gaincal bpcal, 18:30:58.8829, -36:02:30.132
J1833-2103 | 1830-210, radec gaincal, 18:33:39.9150, -21:03:40.050
J1924-2914 | 1921-293, radec gaincal, 19:24:51.055957, -29:14:30.121150
J1939-6342 | 1934-638, radec gaincal bpcal, 19:39:25.026, -63:42:45.63
J2206-1835 | 2203-188, radec gaincal bpcal, 22:06:10.4170, -18:35:38.746
J2225-0457 | 2223-052 | 3C446, radec gaincal, 22:25:47.259291, -04:57:01.390730
J2232+1143 | 2230+114 | CTA102, radec gaincal, 22:32:36.408914, 11:43:50.904100
J2253+1608 | 2251+158 | 3C454.3, radec gaincal, 22:53:57.747932, 16:08:53.560890
